Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,WEST CORNFORTH SPS,6NW800568,243/0979,243/0979,A1,Storm discharge at pumping station,NZ3071934663,GB103024077410,Croxdale Beck from Source to Wear,COXHOE BECK,,,Not Applicable,Commissioned in 2016 - full year data expected,34.25,14,14.5,6 (installed 2016),99.78%,,,,,,,NZ3071934663,54.706055,-1.524791
Northumbrian Water,WEST END SPS,6NW800654,25/04/1596,25/04/1596,A1,Storm discharge at pumping station,NZ5195507732,GB103025071890,Leven from Source to Tame,RIVER LEVEN,,,Not Applicable,Commissioned in 2019 - full year data expected,39.36,7,25.3,4 (installed 2018),100%,,,,,,,NZ5195507732,54.462317,-1.200011
Northumbrian Water,WEST HOLBORN SOUTH CSO,6NW801473,235/1945,235/1945,,SO on sewer network,NZ3546666216,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,34.25,12,13.9,9 (installed 2013),99.68%,,,,,,,NZ3546666216,54.989278,-1.447265
Northumbrian Water,WEST LANE SCHOOL CSO,6NW800237,234/0967,234/0967,,SO on sewer network,NZ1139056060,GB103023074790,Derwent from Burnhope Burn to River Tyne,DERWENT TRIBUTARY,,,Not Applicable,Commissioned in 2020 - full year data expected,38.50,15,12.0,2 (installed 2020),69.67%,Sensor failure / issue,Resolved - Aug,,,,,NZ1139056060,54.899141,-1.823923
Northumbrian Water,WEST OF HEDWORTH LANE CSO,6NW801434,235/C/0044,235/C/0044,,SO on sewer network,NZ3345763236,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,15.25,31,20.9,9 (installed 2013),99.81%,,,,,,,NZ3345763236,54.962639,-1.479007
Northumbrian Water,WEST PARK ESTATE CSO,6NW000004,245/1301,245/1301,,SO on sewer network,NZ3558853076,GB103024077630,Herrington Burn from Source to Lumley Park Burn,HERRINGTON BURN VIA A CULVERT,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.25,8,5.5,10 (installed pre-2013),99.99%,,,,,,,NZ3558853076,54.871195,-1.44698
Northumbrian Water,WEST RAINTON CSO DU085 STW MH21,6NW800361,245/E/0505,245/E/0505,,SO on sewer network,NZ3011646522,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,Unnamed tributary of the River Wear,,,Not Applicable,Commissioned in 2017 - full year data expected,3.75,6,3.2,5 (installed 2017),75.86%,Comms failure / issue,Resolved - Aug,,,,,NZ3011646522,54.812659,-1.532924
Northumbrian Water,WEST RAINTON CSO DU085 STW MH21,6NW801388,245/E/0506,245/E/0506,,SO on sewer network,NZ3011646522,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,Unnamed tributary of the River Wear,,,Not Applicable,Commissioned pre-2016 - full year data expected,24.25,18,35.2,10 (installed pre-2013),99.81%,,,,,,,NZ3011646522,54.812659,-1.532924
Northumbrian Water,WEST RAINTON CSO DU085 STW MH21,6NW801386,245/E/0507,245/E/0507,,SO on sewer network,NZ3011646522,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,24.75,25,31.6,10 (installed pre-2013),99.77%,,,,,,,NZ3011646522,54.812659,-1.532924
Northumbrian Water,WEST RAINTON STW LEAMSIDE,6NW800772,245/1271,245/1271,245/1271-03,Storm tank at WwTW,NZ2970046640,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,319.04,28,46.7,3 (installed 2019),77.28%,Comms failure / issue,N/A - Ongoing investigation,N/A - Ongoing investigation,Scheduled,,,NZ2970046640,54.813744,-1.539384
Northumbrian Water,WEST ROAD CSO,6NW801018,241/1138,241/1138,,SO on sewer network,NZ1638335029,GB103024077390,Beechburn Beck (Trib of Wear),"CROOK BECK, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,136.25,44,35.6,10 (installed pre-2013),99.66%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1638335029,54.710011,-1.747248
Northumbrian Water,WEST ROW CSO HP008,6NW801571,254/1810,254/1810,,SO on sewer network,NZ4916127222,GB103025076030,Greatham Beck Catchment (trib of Tidal Tees),GREATHAM BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,10.25,13,15.6,10 (installed pre-2013),99.99%,,,,,,,NZ4916127222,54.637732,-1.239861
Northumbrian Water,WEST SLEEKBURN FARM CSO,6NW801294,226/1048,226/1048,,SO on sewer network,NZ2737784104,GB103022076230,Sleek Burn / Hepscott Burn Source  to Tidal Limit,SLEEK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,124.75,18,28.9,10 (installed pre-2013),99.99%,,,,,,,NZ2737784104,55.150524,-1.571965
Northumbrian Water,WEST STREET CSO,6NW801305,243/0914,243/0914,,SO on sewer network,NZ2794036440,GB103024077410,Croxdale Beck from Source to Wear,BLAGDON BECK TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,2,1.7,10 (installed pre-2013),99.39%,,,,,,,NZ2794036440,54.722185,-1.567747
Northumbrian Water,WEST STREET P STN SSO,6NW800620,254/E/0336,254/E/0336,,Storm discharge at pumping station,NZ4200013000,GB103025072595,Tees from Skerne to Tidal Limit,TEES,,,Not Applicable,Commissioned in 2020 - full year data expected,7.07,5,7.3,3 (installed 2019),100%,,,,,,,NZ4200013000,54.510575,-1.352826
Northumbrian Water,WEST VIEW CSO,6NW801151,235/1317,235/1317,,SO on sewer network,NZ2257663072,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.07,12,10.6,10 (installed pre-2013),100%,,,,,,,NZ2257663072,54.961774,-1.648953
Northumbrian Water,WEST WOODBURN CSO,6NW801496,255/1186,255/1186,,SO on sewer network,NZ3949636123,GB103025075910,Crimdon Beck from Source to Sea,TRIB. OF HEADS HOPE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,31.00,12,8.8,8 (installed 2014),94.72%,,,,,,,NZ3949636123,54.718564,-1.38839
Northumbrian Water,WEST WOODBURN PUMPING STATION,6NW800493,231/0966,231/0966,231/0966-01,Storm discharge at pumping station,NY8927086790,GB103023075320,Rede from Bellshiel Burn to N Tyne,REDE,,,Not Applicable,Commissioned in 2020 - full year data expected,16.20,3,7.0,3 (installed 2019),99.66%,,,,,,,NY8927086790,55.175292,-2.17001
Northumbrian Water,WESTBOURNE DRIVE CSO,6NW801412,245/1366,245/1366,,SO on sewer network,NZ3260252299,GB103024077630,Herrington Burn from Source to Lumley Park Burn,HERRINGTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,26.00,21,16.7,10 (installed pre-2013),99.69%,,,,,,,NZ3260252299,54.864416,-1.493594
Northumbrian Water,WESTBOURNE ESTATE SSO ASHKIRK WAY,6NW801375,226/1274,226/1274,,SO on sewer network,NZ3073174473,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,10.50,15,19.9,10 (installed pre-2013),99.97%,,,,,,,NZ3073174473,55.063787,-1.520376
Northumbrian Water,WESTERN AREA STW,6NW800705,241/1146,241/1146,241/1146-02,Storm tank at WwTW,NY9241037900,GB103024077461,Wear from Middlehope Burn to Houselop Beck,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,867.41,103,83.3,3 (installed 2019),100%,,,N/A - Ongoing investigation,Scheduled,,,NY9241037900,54.736016,-2.119397
Northumbrian Water,WALLSEND BURN WESTERN ROAD/ROSEHILL ROAD P ST,6NW800586,235/1521,235/1521,235/1521-01,Storm discharge at pumping station,NZ3205066100,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2021 - full year data expected,179.50,53,53.0,1 (installed 2021),100%,,,,,,,NZ3205066100,54.988466,-1.500661
Northumbrian Water,WESTFIELD COURT CSO,6NW801544,254/1921,254/1921,,SO on sewer network,NZ4317520372,GB103025072550,Lustrum Beck Catchment (trib of Tees),LUSTRUM BECK TRIBUTARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.75,9,6.6,10 (installed pre-2013),93.57%,,,,,,,NZ4317520372,54.576723,-1.333601
Northumbrian Water,WESTFIELD NO 9 PS,6NW800839,210/0983,210/0983,210/0983-02,SO on sewer network,NT9962354112,359,North Sea,UNNAMED COASTAL STREAM,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,5,7.2,10 (installed pre-2013),98.80%,,,,,,,NT9962354112,55.780329,-2.007579
Northumbrian Water,WESTGATE CARAVAN SITE CSO,6NW801680,241/1064,241/1064,,SO on sewer network,NY9074238028,GB103024077461,Wear from Middlehope Burn to Houselop Beck,WEAR,,,Not Applicable,Commissioned in 2018 - full year data expected,0.50,1,2.3,4 (installed 2018),56.19%,Comms failure / issue,N/A - Ongoing investigation,,,,,NY9074238028,54.737138,-2.145306
Northumbrian Water,WESTGATE CSO,6NW800223,241/E/0471,241/E/0471,,SO on sewer network,NY9128038065,GB103024077461,Wear from Middlehope Burn to Houselop Beck,RIVER WEAR,,,Not Applicable,Commissioned in 2016 - full year data expected,56.50,20,28.8,6 (installed 2016),99.59%,,,,,,,NY9128038065,54.73748,-2.136952
Northumbrian Water,WESTLINE INDUSTRIAL ESTATE CSO,6NW801237,235/1872,235/1872,,SO on sewer network,NZ2648055681,GB103023075670,Team from Source to Tyne,ROWLETCH BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,19.50,3,2.5,10 (installed pre-2013),99.99%,,,,,,,NZ2648055681,54.895167,-1.588662
Northumbrian Water,WHALTON STW,6NW800725,226/0927,226/0927,B,Storm tank at WwTW,NZ1242480796,GB103022076940,How Burn from Source to Blyth,HOW BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ1242480796,55.121397,-1.806735
Northumbrian Water,WHELDON TERRACE CSO,6NW000010,EPRAB3894VG,EPRAB3894VG,,SO on sewer network,NZ2536252629,GB103024077600,Cong Burn from Twizell Burn to Wear,TRIBUTARY OF THE CHESTER BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.2,10 (installed pre-2013),99.99%,,,,,,,NZ2536252629,54.867799,-1.60636
Northumbrian Water,WHESSOE SPS,6NW800559,253/0053,253/0053,A1,Storm discharge at pumping station,NZ2940017800,GB103025072596,Skerne from Demons Beck to Tees,"SKERNE, TRIBUTARY OF",,,Not Applicable,Commissioned in 2020 - full year data expected,35.51,8,8.0,3 (installed 2019),100%,,,,,,,NZ2940017800,54.554595,-1.546946
Northumbrian Water,WHICKHAM SOUTH & SUNNISIDE CSO,6NW801120,235/1966,235/1966,,SO on sewer network,NZ2101059990,GB103023075670,Team from Source to Tyne,TRIB BLACK BURN VIA SW SEWER,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,3,3.4,10 (installed pre-2013),99.99%,,,,,,,NZ2101059990,54.934147,-1.673633
Northumbrian Water,WHISKEY JACKS PUMPING STATION,6NW800508,234/1174,234/1174,234/1174-02,Storm discharge at pumping station,NZ1585057741,GB103023074790,Derwent from Burnhope Burn to River Tyne,"DERWENT, RIVER",,,Not Applicable,Commissioned in 2020 - full year data expected,51.30,35,28.0,3 (installed 2019),100%,,,,,,,NZ1585057741,54.914126,-1.754286
Northumbrian Water,WHITBURN STEEL PS,6NW800619,245/1207,245/1207,245/1207-01,Storm discharge at pumping station,NZ4206061150,GB650301500002,Tyne and Wear,NORTH SEA,,Seaburn (Whitburn North),Not Applicable,Commissioned in 2020 - full year data expected,38.25,13,22.3,3 (installed 2019),100%,,,,,,,NZ4206061150,54.943245,-1.344961
Northumbrian Water,WHITBURN STORM SEWAGE OVERFLOW,6NW801516,245/1106,245/1106,,SO on sewer network,NZ4097061410,GB650301500002,Tyne and Wear,NORTH SEA,,Seaburn (Whitburn North),Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.6,10 (installed pre-2013),100%,,,,,,,NZ4097061410,54.945672,-1.361938
Northumbrian Water,WHITE HOUSE ROAD 1+2 CSO,6NW801563M2,254/1823,254/1823,254/1823-1.3.1,SO on sewer network,NZ4515024010,GB103025076010,Billingham Beck from Brierley Beck to Tees Es,"THORPE BECK, TRIB OF BILL.BECK",,,Not Applicable,Commissioned pre-2016 - full year data expected,1.75,6,2.5,10 (installed pre-2013),99.95%,,,,,,,NZ4515024010,54.609243,-1.302492
Northumbrian Water,WHITE HOUSE ROAD 1+2 CSO,6NW801563M3,254/1823,254/1823,254/1823-1.3.2,SO on sewer network,NZ4515024010,GB103025076010,Billingham Beck from Brierley Beck to Tees Es,"THORPE BECK, TRIB OF BILL.BECK",,,Not Applicable,Commissioned pre-2016 - full year data expected,20.75,29,22.8,10 (installed pre-2013),99.98%,,,,,,,NZ4515024010,54.609243,-1.302492
Northumbrian Water,WHITE STREET STATION ROAD CSO,6NW800351,235/1329,235/1329,,SO on sewer network,NZ2981264400,GB510302310200,TYNE,RIVER TYNE ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,,,39.0,4 (installed 2018),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ2981264400,54.973329,-1.535811
Northumbrian Water,WHITE STREET STATION ROAD CSO,6NW800350,235/1330,235/1330,,SO on sewer network,NZ2981264383,GB510302310200,TYNE,RIVER TYNE ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,,,24.5,4 (installed 2018),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ2981264383,54.973176,-1.535813
Northumbrian Water,WHITE-LE-HEAD ALLOTMENTS SSO,6NW801050,235/1539,235/1539,,SO on sewer network,NZ1720754317,GB103023075670,Team from Source to Tyne,KYO BURN TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.75,5,16.9,10 (installed pre-2013),99.99%,,,,,,,NZ1720754317,54.883313,-1.733322
Northumbrian Water,WHITTINGHAM STW,6NW800691,222/0864,222/0864,222/0864-04,Storm tank at WwTW,NU0716012080,GB103022076310,Aln from Callaly Burn to Coe Burn,RIVER ALN,,,Not Applicable,Commissioned in 2020 - full year data expected,14.63,2,6.7,3 (installed 2019),4.93%,Installation set-up/design issue,Resolved - Dec,,,,,NU0716012080,55.402609,-1.888489
Northumbrian Water,WHITTLE COLLIERY VILLAGE STW,6NW800693,223/0832,223/0832,,Storm tank at WwTW,NU1745706615,GB103022076710,Hazon Burn Catchment (trib of Coquet),The Ogle Letch,,,Not Applicable,Commissioned in 2021 - full year data expected,0.00,0,0.0,1 (installed 2021),100%,,,,,,,NU1745706615,55.353248,-1.726233
Northumbrian Water,WHITTONSTALL CSO,6NW800937,234/1026,234/1026,,SO on sewer network,NZ0776057870,GB103023074790,Derwent from Burnhope Burn to River Tyne,MILL BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.4,9 (installed 2013),99.99%,,,,,,,NZ0776057870,54.915475,-1.880477
Northumbrian Water,WHORLTON STW,6NW800718,25/02/1087,25/02/1087,25/02/1087-03,Storm tank at WwTW,NZ1089014480,GB103025072190,Tees from River Greta to River Skerne,RIVER TEES,,,Not Applicable,Commissioned in 2020 - full year data expected,107.62,14,17.7,3 (installed 2019),99.48%,,,,,,,NZ1089014480,54.525492,-1.833257
Northumbrian Water,WIDDRINGTON CSO,6NW801222,224/0995,224/0995,,SO on sewer network,NZ2570493603,GB103022076820,Lyne from Source to Tidal Limit,LINTON BURN (RIVER LYNE),,,Not Applicable,Commissioned pre-2016 - full year data expected,0.43,2,2.0,10 (installed pre-2013),100%,,,,,,,NZ2570493603,55.235968,-1.597356
Northumbrian Water,WILLIAM STREET CSO,6NW801394,235/1746,235/1746,,SO on sewer network,NZ3063565667,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.50,9,8.1,10 (installed pre-2013),99.69%,,,,,,,NZ3063565667,54.984664,-1.52282
Northumbrian Water,WILLIAM STREET CSO,6NW801063,245/1266,245/1266,,SO on sewer network,NZ1896051840,GB510302310200,TYNE,TRIB OF STANLEY BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,3,2.3,10 (installed pre-2013),99.98%,,,,,,,NZ1896051840,54.860991,-1.70616
Northumbrian Water,WILLINGTON STW,6NW800746,243/0968,243/0968,243/0968-03,Storm tank at WwTW,NZ2109034460,GB103024077464,Wear from Gaunless to Browney,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ2109034460,54.704724,-1.674235
Northumbrian Water,WILLINGTON SYSTEM CSO,6NW801076,243/D/0393,243/D/0393,,SO on sewer network,NZ1900031900,GB103024077464,Wear from Gaunless to Browney,"WEAR, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,47.25,31,24.8,10 (installed pre-2013),95.50%,,,,,,,NZ1900031900,54.681801,-1.706834
Northumbrian Water,WILLOW BRIDGE CSO,6NW801219,226/1239,226/1239,,SO on sewer network,NZ2567083650,GB103022076230,Sleek Burn / Hepscott Burn Source  to Tidal Limit,THE SLEEK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,41.75,26,30.0,9 (installed 2013),99.85%,,,,,,,NZ2567083650,55.146536,-1.59879
Northumbrian Water,WINCOMBLEE B PUMPING STATION,6NW800565,235/1757,235/1757,Sch 1/3,Storm discharge at pumping station,NZ2980064270,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,27.56,11,10.5,4 (installed 2018),99.03%,,,,,,,NZ2980064270,54.972161,-1.536012
Northumbrian Water,WINCOMBLEE C PUMPING STATION,6NW800564,235/1758,235/1758,,Storm discharge at pumping station,NZ2982064390,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,31.25,20,25.1,10 (installed pre-2013),99.99%,,,,,,,NZ2982064390,54.973238,-1.535687
Northumbrian Water,WINCOMBLEE ROAD CSO,6NW800352,235/1759,235/1759,,SO on sewer network,NZ2981264400,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2019 - full year data expected,42.75,33,22.7,4 (installed 2018),100%,,,,,,,NZ2981264400,54.973329,-1.535811
Northumbrian Water,WINDLESTONE STW,6NW800771,253/1269,253/1269,A2,Storm tank at WwTW,NZ2899028590,GB103025072450,Rushyford Beck from Source to Woodham Burn,"RUSHYFORD BECK, TRIBUTARY OF",,,Not Applicable,Commissioned in 2020 - full year data expected,115.81,26,57.5,2 (installed 2020),100%,,,N/A - Ongoing investigation,Scheduled,,,NZ2899028590,54.651583,-1.552223
Northumbrian Water,WINDMILL COTTAGE CSO THE MILL TE066,6NW800921,252/1125,252/1125,,SO on sewer network,NZ0151019565,GB103025072511,Tees from Maize Beck to Percy Beck,UNNAMED TRIB OF LANCE BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,84.87,36,11.6,10 (installed pre-2013),100%,,,,,,,NZ0151019565,54.571302,-1.978158
Northumbrian Water,WINGATE CSO NO 1,6NW801488,255/E/0642,255/E/0642,,SO on sewer network,NZ3784436372,GB103025076070,Skerne from Source to Carrs,River Skerne,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,1,6.3,10 (installed pre-2013),99.71%,,,,,,,NZ3784436372,54.720928,-1.414002
Northumbrian Water,WINSTON STW SSO,6NW800152,25/02/1120,25/02/1104,25/02/1104-01,Inlet SO at WwTW,NZ1433016540,GB103025072190,Tees from River Greta to River Skerne,RIVER TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.75,2,9.0,10 (installed pre-2013),87.02%,Comms failure / issue,Resolved - May,,,,,NZ1433016540,54.54392,-1.780008
Northumbrian Water,WITTON GILBERT STW,6NW801159,244/0889,244/0889,,SO on sewer network,NZ2328145066,GB103024077551,Browney from Smallhope Burn Deerness confl,RIVER BROWNEY,,,Not Applicable,Commissioned pre-2016 - full year data expected,145.00,70,71.1,10 (installed pre-2013),99.43%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2328145066,54.799937,-1.639389
Northumbrian Water,WITTON GILBERT STW,6NW800753,244/1027,244/1027,244/1027-02,Storm tank at WwTW,NZ2328045067,GB103024077551,Browney from Smallhope Burn Deerness confl,River Browney,,,Not Applicable,Commissioned in 2020 - full year data expected,,,6.7,3 (installed 2019),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ2328045067,54.799946,-1.639405
Northumbrian Water,WITTON-LE-WEAR PS LOW LANE,6NW801005,241/1080,241/1080,241/1080-01,Storm discharge at pumping station,NZ1537031340,GB103024077462,Wear from Houselop Beck to Beechburn Beck,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,718.50,66,53.5,10 (installed pre-2013),78.50%,Comms failure / issue,Resolved - January after reporting year,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1537031340,54.676892,-1.763163
